Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,3.02,-4.54,-28.96,2.69,-10.08,1.74,-4.79,0.44,-10.75,-12.14,15.68
3-Year Average,6.46,-1.36,-11.27,-11.36,-13.11,-2.06,-4.5,-0.91,-5.14,-7.65,
5-Year Average,10.81,9.29,-3.93,-6.88,-8.39,-8.62,-8.67,-2.12,-4.83,-5.27,
10-Year Average,,,,,0.12,0.63,-0.09,-3.03,-5.86,-6.84,
