Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,-7.36,-55.98,56.61,5.83,-42.35,-32.33,-22.8,87.59,49.26,,
3-Year Average,24.55,-16.25,-13.88,-9.97,-1.51,-25.54,-32.97,-0.67,29.3,,
5-Year Average,45.71,-3.28,5.9,-0.53,-17.18,-22.22,-12.97,-9.77,-3.35,,
10-Year Average,67.3,46.51,27.38,32.62,5.7,6.46,-8.25,-2.25,-1.95,,
