Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,8.09,-25.55,90.54,-39.17,-8.33,0.33,-6.24,3.21,-0.38,-3.52,
3-Year Average,51.6,0.36,15.32,-4.79,2.05,-17.6,-4.82,-0.98,-1.21,-0.27,
5-Year Average,43.54,26.32,37.66,3.22,-3.08,-4.51,-0.01,-11.55,-2.38,-1.37,
10-Year Average,,30.61,59.37,29.01,22.7,17.07,12.39,10.35,0.38,-2.23,
