Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,0.01,-38.2,50.65,26.56,3.81,26.93,20.55,8.49,0.08,39.3,87.18
3-Year Average,15.94,-10.87,-2.35,5.62,25.56,18.59,16.68,18.4,9.39,14.79,
5-Year Average,22.57,2.98,7.73,6.18,4.11,9.2,24.81,16.88,11.52,18.27,
10-Year Average,9.8,5.58,5.7,11.09,13.53,15.69,13.37,12.21,8.82,10.97,
