Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,21.69,16.19,4.96,9.85,-3.73,3.26,-27.86,-0.8,49.36,16.39,7.61
3-Year Average,21.97,15.0,14.07,10.24,3.54,2.98,-10.49,-9.59,2.25,19.92,
5-Year Average,19.01,17.43,17.22,11.89,9.43,5.9,-3.73,-4.81,1.22,5.14,
10-Year Average,21.67,23.18,,17.21,13.58,12.26,6.32,5.63,6.42,7.26,
