Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,-0.91,2.46,-18.02,-45.54,56.08,60.06,7.77,3.72,8.41,2.53,
Free Cash Flow Growth % YOY,8.55,14.08,-23.34,-51.61,6.36,238.32,6.02,9.31,8.76,5.0,
Cap Ex as a % of Sales,17.96,21.29,18.98,11.83,24.96,6.07,6.8,3.89,3.84,2.33,4.09
Free Cash Flow/Sales %,37.55,64.96,45.18,19.79,18.56,55.47,53.24,55.6,57.66,56.15,55.04
Free Cash Flow/Net Income,-2.13,-0.97,1.13,0.16,1.0,1.51,0.94,1.58,1.63,1.46,1.38
