Key Efficiency Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Days Sales Outstanding,14.1,14.07,12.29,11.37,6.47,5.84,5.36,5.14,6.12,8.06,7.13
Days Inventory,56.42,,,,,,,,,,
Payables Period,,,,,,,,,,,
Cash Conversion Cycle,,,,,,,,,,,
Receivables Turnover,25.88,25.94,29.69,32.09,56.4,62.49,68.13,71.01,59.67,45.28,51.23
Inventory Turnover,6.47,,,,,,,,,,
Fixed Assets Turnover,0.12,0.11,0.13,0.15,0.19,0.19,0.2,0.21,0.22,0.18,0.17
Asset Turnover,0.09,0.08,0.1,0.1,0.11,0.1,0.1,0.11,0.12,0.11,0.11
