Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,3.47,20.27,12.61,81.72,2.57,103.47,10.91,-3.09,0.86,-1.44,-2.86
3-Year Average,6.53,10.55,11.91,35.01,28.03,55.95,32.28,29.8,2.73,-1.24,
5-Year Average,8.31,10.58,10.36,22.56,21.17,38.72,36.49,32.45,17.74,16.8,
10-Year Average,30.97,22.77,19.16,20.82,17.33,22.57,22.85,20.9,20.12,18.97,
