Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,49.92,14.45,-70.21,50.65,38.12,7.55,-26.99,-10.06,-57.09,-62.19,70.89
3-Year Average,14.01,9.04,-20.04,-19.91,-14.74,30.8,2.74,-10.94,-34.44,-47.35,
5-Year Average,20.87,15.89,-12.76,-10.27,1.24,-5.27,-13.41,8.01,-15.98,-35.16,
10-Year Average,24.57,32.73,14.66,0.54,4.6,7.01,0.17,-2.93,-13.17,-18.98,
