Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,46.19,68.0,25.24,38.28,31.67,17.98,13.56,13.52,11.54,32.51,24.61
3-Year Average,36.85,47.17,45.43,42.76,31.62,29.03,20.83,15.0,12.87,18.83,
5-Year Average,40.29,42.98,40.07,40.73,41.14,35.21,25.03,22.59,17.44,17.59,
10-Year Average,,,173.93,57.47,38.16,37.73,33.7,31.04,28.56,28.82,
