Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,,,,,,,
Net Margin %,,,,,,,,,,,
Asset Turnover (Average),0.02,,,,,0.06,0.03,,0.01,,
Return on Assets %,-141.36,-273.12,-265.13,-170.1,-98.4,-126.29,-135.57,-70.17,-220.52,-272.15,-407.42
Financial Leverage (Average),1.12,47.09,,5.73,30.96,14.46,,,,,
Return on Equity %,-154.38,-471.8,,,,,,,,,
Return on Invested Capital %,-156.8,-410.29,,,-112.33,-134.58,,,,,
Interest Coverage,,,,,-6.66,-7.56,-6.07,-4.51,-6.98,-2.41,-4.64
