Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,,,,,,,
Net Margin %,40.15,24.83,18.41,22.44,25.92,24.9,25.44,23.9,28.18,31.11,35.43
Asset Turnover (Average),0.17,0.17,0.17,0.17,0.16,0.16,0.16,0.16,0.16,0.16,0.14
Return on Assets %,6.87,4.25,3.1,3.83,4.2,4.01,3.99,3.74,4.43,4.83,5.11
Financial Leverage (Average),2.71,2.8,2.76,2.77,3.03,3.05,2.93,2.85,2.97,2.76,3.04
Return on Equity %,20.66,11.7,8.61,10.6,12.22,12.19,11.94,10.82,12.91,13.78,14.79
Return on Invested Capital %,13.43,9.04,6.87,8.46,8.54,7.6,7.36,6.64,7.28,7.5,7.76
Interest Coverage,1.89,2.19,1.94,2.26,2.31,2.27,2.31,2.79,3.05,3.38,3.4
