Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,-2.73,41.67,-0.94,20.08,2.68,3.84,-64.31,10.56,-19.29,7.99,
Free Cash Flow Growth % YOY,-11.62,71.69,2.14,24.81,-3.14,0.54,-71.02,19.23,-28.56,12.18,
Cap Ex as a % of Sales,6.39,4.36,3.54,2.89,6.97,9.42,5.82,5.32,5.44,5.38,4.41
Free Cash Flow/Sales %,13.61,20.51,20.11,21.96,34.94,39.47,11.09,12.83,9.1,9.98,15.88
Free Cash Flow/Net Income,0.98,1.24,1.08,1.67,1.58,1.26,0.85,1.14,0.42,1.49,1.9
