Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,22.21,11.03,0.06,-0.75,-11.21,-35.37,4.14,48.11,,,-5.52
3-Year Average,9.58,9.43,10.73,3.31,-4.11,-17.11,-15.77,-0.11,,,
5-Year Average,14.48,8.99,7.89,5.41,3.65,-8.75,-9.91,-2.56,,,
10-Year Average,1.02,2.59,6.2,3.91,2.5,2.21,-0.91,2.53,,,
