Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,5.9,-11.83,24.94,-19.76,3.99,-4.55,-5.49,7.62,-4.4,13.89,7.64
3-Year Average,15.48,6.3,5.27,-4.03,1.4,-7.3,-2.11,-0.98,-0.93,5.42,
5-Year Average,11.68,6.4,11.15,3.79,-0.54,-2.58,-1.22,-4.12,-0.71,1.12,
10-Year Average,17.35,11.25,10.36,7.09,5.12,4.3,2.52,3.23,1.52,0.29,
