Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,24.32,28.1,27.0,27.29,27.23,27.14,31.4,30.61,32.07,31.35,33.94
Gross Margin,75.68,71.9,73.0,72.71,72.77,72.86,68.6,69.39,67.93,68.65,66.06
SG&A,39.61,41.81,41.12,41.33,41.02,42.83,45.29,54.65,53.38,51.1,53.4
R&D,,,,,,,,,,,
Other,,,,,,,,,,,
Operating Margin,36.06,30.09,31.88,31.38,31.74,30.04,23.31,14.74,14.55,17.54,12.65
Net Int Inc & Other,1.5,0.16,0.22,-0.09,-0.13,-0.08,0.05,-0.15,-0.6,-0.63,-0.91
EBT Margin,37.57,30.25,32.1,31.29,31.61,29.96,23.35,14.59,13.95,16.91,11.74
