Key EPS %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,-19.09,-1.03,44.56,2.51,19.23,-1.17,-10.39,-20.2,2.9,16.53,85.0
3-Year Average,9.63,-2.62,5.0,13.62,20.89,6.5,1.83,-10.93,-9.72,-1.46,
5-Year Average,8.45,3.82,13.52,6.47,7.19,11.56,9.37,-2.89,-2.81,-3.26,
10-Year Average,15.05,17.19,11.98,12.9,15.6,9.99,6.56,5.0,1.73,1.83,
