Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,15.52,147.76,-61.45,75.78,-21.33,-35.03,16.52,29.1,-42.2,223.0,50.0
3-Year Average,,105.96,3.34,18.86,-18.91,-3.51,-15.87,-0.76,-4.55,34.08,
5-Year Average,,,,42.72,8.82,-3.01,-16.59,6.21,-14.97,12.78,
10-Year Average,8.07,19.55,7.01,16.71,,,,,10.16,10.78,
