Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,122.52,127.48,117.46,61.51,58.62,121.38,124.86,118.86,132.85,66.09,66.09
Gross Margin,-22.52,-27.48,-17.46,38.49,41.38,-21.38,-24.86,-18.86,-32.85,33.91,33.91
SG&A,34.4,20.82,20.27,16.12,17.56,18.88,21.51,20.46,19.31,16.77,16.77
R&D,,,,,,,,,,,
Other,-68.41,-42.11,-36.59,12.41,17.84,-50.48,-51.21,-54.09,-62.15,9.12,9.12
Operating Margin,11.49,-6.18,-1.14,9.95,5.99,10.22,4.84,14.76,9.99,8.03,8.03
Net Int Inc & Other,2.96,5.05,2.33,8.8,4.24,1.51,0.4,1.13,2.08,1.78,1.78
EBT Margin,14.45,-1.13,1.19,18.75,10.23,11.74,5.25,15.89,12.07,9.8,9.8
