Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,,,,-43.44,-17.98,82.74,40.79,
3-Year Average,,,,,,,,,-5.36,28.27,
5-Year Average,,,,,,,,,,,
10-Year Average,,,,,,,,23.64,,,
