Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,77.91,74.94,69.52,66.95,66.14,64.95,64.49,62.27,61.11,58.47,57.01
Gross Margin,22.09,25.06,30.48,33.05,33.86,35.05,35.51,37.73,38.89,41.53,42.99
SG&A,13.21,14.23,13.02,13.13,11.33,11.03,11.72,12.9,12.77,13.67,14.21
R&D,,,,,,,,,,,
Other,6.93,13.83,8.23,8.46,8.29,8.33,8.39,8.74,9.94,8.87,9.33
Operating Margin,1.94,-3.0,9.22,11.46,14.24,15.69,15.4,16.09,16.17,18.99,19.45
Net Int Inc & Other,-1.94,3.0,-9.22,-10.32,-8.45,-8.25,-10.94,-5.2,-6.18,-5.85,-5.28
EBT Margin,,,,1.14,5.79,7.44,4.46,10.89,9.99,13.14,14.17
