Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,17.1,16.11,20.03,26.27,35.81,13.1,-6.09,-4.31,2.28,12.38,
3-Year Average,20.04,17.13,17.74,20.73,27.21,24.71,12.99,0.54,-2.77,3.23,
5-Year Average,,,19.24,19.49,22.85,22.0,16.93,11.75,7.14,3.16,
10-Year Average,,,,,,,,15.44,13.15,12.58,
