Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,7.93,-11.22,6.32,6.19,-5.58,-1.19,-4.59,11.29,-16.16,-8.7,
3-Year Average,6.97,0.2,0.62,0.08,2.15,-0.31,-3.81,1.61,-3.8,-5.2,
5-Year Average,13.44,5.96,2.93,2.58,0.43,-1.33,0.1,1.02,-3.65,-4.29,
10-Year Average,18.61,14.87,12.65,11.41,8.37,5.8,2.99,1.97,-0.58,-1.96,
