Key EPS %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,16.67,-42.11,-90.91,714.29,8.07,-17.86,25.3,15.62,17.33,10.93,
3-Year Average,15.64,-13.99,-60.55,-24.61,-7.17,93.35,3.61,5.97,19.34,14.59,
5-Year Average,,14.57,-39.45,-13.98,-11.58,-17.57,-3.81,59.96,8.57,9.14,
10-Year Average,4.8,-2.13,-21.22,0.54,2.53,,4.98,-1.59,-3.36,-1.77,
