Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,9.62,14.75,-23.5,4.06,-40.67,8.14,120.66,-3.08,35.77,-1.07,-1.75
3-Year Average,-1.71,11.04,-1.27,-2.97,-22.13,-12.6,12.28,32.24,42.66,9.19,
5-Year Average,47.22,7.05,-3.57,1.73,-9.89,-10.14,2.42,7.38,13.25,25.44,
10-Year Average,6.71,7.47,2.85,-1.79,9.34,15.02,4.71,1.76,7.34,6.32,
