Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,24.59,-88.62,136.41,1733.55,-44.4,214.5,19.49,44.1,47.36,46.7,41.59
3-Year Average,34.53,-20.66,-30.54,70.23,188.86,217.69,27.84,75.61,36.39,46.05,
5-Year Average,-19.46,-39.18,-8.12,84.97,27.86,53.87,146.26,123.05,34.72,63.56,
10-Year Average,-9.0,-29.8,-24.65,-1.33,-8.08,11.32,22.38,43.16,57.85,44.61,
