Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,7.73,7.13,2.02,2.57,1.54,9.94,4.83,7.64,8.44,7.74,8.35
3-Year Average,7.21,8.25,5.59,3.88,2.04,4.62,5.38,7.45,6.96,7.94,
5-Year Average,8.79,7.78,6.14,5.83,4.16,4.59,4.13,5.26,6.44,7.71,
10-Year Average,9.05,8.12,7.21,6.91,6.29,6.67,5.94,5.7,6.13,5.92,
