Key EPS %,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Year over Year,,,-10.95,-52.94,-61.15,77.78,,,,,
3-Year Average,,,-1.86,-25.7,-45.39,-31.24,,-22.37,,,
5-Year Average,,,2.06,-15.34,-29.61,-22.29,,-35.37,,,
10-Year Average,,,4.0,-2.95,22.31,37.12,,-21.17,,,
