Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,19.7,,,,,,
Net Margin %,,5.21,-140.55,,,,,,,,
Asset Turnover (Average),,0.03,0.02,,,,,,,,
Return on Assets %,-2.29,0.14,-3.25,-4.04,91.08,-6.97,-4.89,-0.24,-76.71,-3.8,-4.44
Financial Leverage (Average),1.02,1.02,1.04,1.04,1.18,1.55,1.01,1.01,1.02,1.03,1.03
Return on Equity %,-2.32,0.14,-3.34,-4.2,104.45,-9.44,-6.28,-0.24,-77.78,-3.9,-4.55
Return on Invested Capital %,-4.13,-1.23,-3.99,-4.65,101.91,-14.61,-8.65,-1.77,-79.14,-6.37,-7.02
Interest Coverage,,,,,,,,,,,
