Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,8.0,12.0,14.0,18.0,16.0,3.0,2.0,3.0,3.0,3.0,3.0
Gross Margin %,36.9,24.0,21.9,50.8,20.4,53.9,-3.6,34.7,15.7,16.2,16.2
Operating Income AUD Mil,-8.0,-4.0,-2.0,0.0,-6.0,0.0,-1.0,0.0,-0.0,-0.0,-0.0
Operating Margin %,-88.8,-29.8,-13.4,2.3,-35.3,9.0,-33.9,10.8,-4.1,-4.8,-4.8
Net Income AUD Mil,-4.0,0.0,1.0,0.0,-6.0,2.0,-0.0,1.0,0.0,0.0,0.0
Earnings Per Share AUD,-0.03,,,,-0.03,0.01,,,,,
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,149.0,163.0,163.0,163.0,163.0,161.0,152.0,152.0,152.0,152.0,152.0
Book Value Per Share * AUD,0.05,0.05,0.05,0.05,0.03,0.04,0.03,0.03,0.03,0.04,0.04
Operating Cash Flow AUD Mil,-4.0,-1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0
Cap Spending AUD Mil,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Free Cash Flow AUD Mil,-4.0,-1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
Free Cash Flow Per Share * AUD,-0.03,,,,,,,,,,
Working Capital AUD Mil,-2.0,-3.0,-1.0,-4.0,-5.0,-2.0,-5.0,-2.0,-1.0,-1.0,
