Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,106.01,35.27,38.39,37.12,28.33,20.16,8.08,-24.42,16.06,35.11,
Free Cash Flow Growth % YOY,122.13,-5.18,92.52,30.26,37.66,13.07,15.32,-27.84,23.49,43.15,
Cap Ex as a % of Sales,4.0,12.11,5.08,6.79,4.72,6.51,4.62,4.95,3.4,1.99,5.93
Free Cash Flow/Sales %,30.24,19.69,31.52,30.57,33.84,30.86,34.23,26.25,28.98,36.57,30.73
Free Cash Flow/Net Income,1.26,0.84,1.43,1.13,1.2,1.02,1.16,1.34,1.17,1.34,1.02
