Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,132.84,14.04,17.77,-21.43,11.64,47.6,5.0,20.01,9.52,-6.02,
Free Cash Flow Growth % YOY,748.21,-4.38,54.04,-34.17,-11.05,73.72,-18.73,47.88,26.41,-17.16,
Cap Ex as a % of Sales,2.7,4.07,2.72,3.24,4.34,4.42,6.21,5.07,4.01,4.78,2.59
Free Cash Flow/Sales %,8.35,7.03,13.13,7.35,5.37,8.23,6.3,8.3,10.13,8.19,11.13
Free Cash Flow/Net Income,0.74,0.59,1.38,0.63,0.41,0.61,0.47,0.63,0.76,0.65,0.87
