Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,104.39,,,57.73,5.17,-33.31,-12.59,,,,
3-Year Average,145.07,,23.58,13.35,,3.42,-15.05,,,,
5-Year Average,78.42,,68.52,34.23,25.64,0.43,,,,,
10-Year Average,28.36,,35.02,49.65,44.74,33.86,30.78,,,,
