Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-3.82,20.76,-54.84,323.76,22.44,22.91,11.71,6.79,64.34,27.06,2.98
3-Year Average,-19.78,-20.11,-19.35,32.21,32.82,85.44,18.9,13.6,25.16,30.65,
5-Year Average,-14.08,-10.63,-22.39,-0.49,22.17,28.31,26.33,50.05,24.16,25.08,
10-Year Average,1.54,-0.22,-9.68,1.73,2.42,5.0,6.25,7.91,11.16,23.62,
