Key EPS %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,88.01,33.67,-9.35,36.11,26.6,-24.89,91.68,-67.1,,,
3-Year Average,28.1,50.25,31.58,18.15,16.03,8.98,22.15,-22.05,,-28.1,
5-Year Average,36.74,27.75,20.56,33.15,31.46,9.42,17.59,-3.98,,-11.76,
10-Year Average,17.3,22.93,22.68,32.76,41.19,22.32,22.57,7.59,,7.7,
