Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,85.62,-4.96,-11.59,15.61,-10.72,29.72,0.9,7.14,19.11,37.34
3-Year Average,,,91.98,15.97,-0.96,-3.01,10.22,5.33,11.93,8.79,
5-Year Average,,2.37,18.45,,48.54,9.99,2.38,3.62,7.67,8.32,
10-Year Average,,2.13,-1.22,5.59,,,2.38,10.78,,26.85,
