Key Financials AUD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Revenue AUD Mil,48.0,61.0,59.0,61.0,68.0,,,,,,
Gross Margin %,98.4,61.8,59.7,98.2,98.5,,,,,,
Operating Income AUD Mil,7.0,11.0,-3.0,4.0,3.0,-1.0,-1.0,-14.0,-2.0,-2.0,-2.0
Operating Margin %,15.2,17.4,-5.7,6.7,4.3,,,,,,
Net Income AUD Mil,6.0,8.0,-2.0,3.0,2.0,-1.0,-1.0,-14.0,-1.0,-2.0,-2.0
Earnings Per Share AUD,0.11,0.14,-0.03,0.06,0.03,-0.01,-0.01,-0.06,,,
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,55.0,58.0,55.0,55.0,56.0,144.0,167.0,244.0,496.0,688.0,688.0
Book Value Per Share * AUD,,,,,,0.21,0.16,0.07,0.05,0.04,0.04
Operating Cash Flow AUD Mil,,,,,,-0.0,-1.0,-1.0,-1.0,-1.0,-1.0
Cap Spending AUD Mil,,,,,,-7.0,-4.0,-1.0,-1.0,-28.0,-28.0
Free Cash Flow AUD Mil,,,,,,-7.0,-5.0,-2.0,-3.0,-29.0,-29.0
Free Cash Flow Per Share * AUD,,,,,,-0.09,-0.05,-0.02,-0.01,-0.01,
Working Capital AUD Mil,,13.0,12.0,12.0,11.0,-1.0,-0.0,1.0,-2.0,-4.0,
