Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,11.9,-34.86,17.92,-52.44,-5.86,95.22,-10.62,26.09,37.71,45.59,
Free Cash Flow Growth % YOY,15.53,-50.53,59.93,-70.97,-84.46,1392.12,-58.18,-36.71,306.65,60.56,
Cap Ex as a % of Sales,2.15,3.19,2.04,2.94,4.88,3.6,4.99,7.2,6.24,7.5,9.31
Free Cash Flow/Sales %,9.39,5.16,10.54,3.07,0.45,6.55,2.16,1.29,5.06,7.32,3.61
Free Cash Flow/Net Income,1.01,-0.24,-102.43,0.88,0.15,1.52,0.45,0.19,0.66,0.7,0.35
