Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,45.66,-29.18,106.19,3.11,31.23,20.64,4.05,30.47,19.55,21.45,9.3
3-Year Average,89.61,16.51,28.61,14.62,40.78,17.74,18.1,17.87,17.52,23.73,
5-Year Average,112.8,75.5,58.34,27.45,23.54,18.97,28.49,17.25,20.77,18.92,
10-Year Average,61.62,39.17,46.32,48.0,55.42,59.12,50.17,36.26,24.06,21.21,
