Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,,,,,,,,,,,
Free Cash Flow Growth % YOY,,,,,,,,,,,
Cap Ex as a % of Sales,,,,,,,,,,0.73,
Free Cash Flow/Sales %,,,,,,-351.0,-159.94,,-0.46,-46.17,-6.12
Free Cash Flow/Net Income,,,,,,1.33,0.09,1.2,-0.04,0.31,0.02
