Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,49.36,2.49,10.47,10.67,-35.59,61.62,30.13,-57.31,-54.02,292.47,
3-Year Average,10.31,7.3,19.14,7.81,-7.65,4.83,10.65,-3.53,-36.55,-8.33,
5-Year Average,21.26,19.84,8.73,8.6,3.81,5.46,10.62,-8.54,-23.27,10.13,
10-Year Average,18.85,5.14,14.57,16.89,8.64,13.08,15.14,-0.28,-8.72,6.92,
