Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,74.9,76.35,75.4,75.13,74.9,79.12,79.57,81.52,79.81,82.09,81.36
Gross Margin,25.1,23.65,24.6,24.87,25.1,20.88,20.43,18.48,20.19,17.91,18.64
SG&A,2.8,2.42,2.43,2.48,2.15,1.6,1.38,1.16,1.38,1.43,1.51
R&D,,,,,,,,,,,
Other,,,,,,,,,,,
Operating Margin,22.29,21.23,22.17,22.39,22.95,19.28,19.05,17.32,18.81,16.48,17.13
Net Int Inc & Other,-11.04,-3.67,-5.58,-10.61,-8.91,-17.94,-12.45,-8.37,-10.65,-15.47,-14.03
EBT Margin,11.25,17.56,16.6,11.78,14.04,1.34,6.59,8.95,8.15,1.01,3.1
