Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-95.6,,,,100.74,16.67,3.57,-0.18,7.11,0.67,140.2
3-Year Average,-65.53,,,149.65,,,34.36,6.45,3.45,2.48,
5-Year Average,-47.89,,,-8.31,6.59,105.27,,,20.99,5.4,
10-Year Average,-25.99,,,-2.63,15.1,3.42,5.01,4.44,5.33,5.99,
