Key Operating Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,54.42,-11.1,-30.69,15.85,18.36,-44.42,89.26,14.64,13.79,-13.79,-51.03
3-Year Average,6.36,-1.39,-1.65,-10.63,-1.68,-8.66,7.58,6.44,35.16,3.99,
5-Year Average,-1.1,-4.2,-5.81,-5.1,5.46,-14.03,-0.01,10.58,10.19,3.42,
10-Year Average,16.17,6.3,0.37,0.18,-0.23,-7.79,-2.13,2.06,2.26,4.43,
