Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,,,,,,,
Net Margin %,,,,14.9,-2.88,-27.73,-68.97,-2.98,-15.51,3.96,0.32
Asset Turnover (Average),,,,1.42,1.58,1.88,1.35,1.54,1.51,1.72,1.52
Return on Assets %,,,,21.16,-4.55,-52.05,-92.87,-4.6,-23.34,6.79,0.49
Financial Leverage (Average),,,,,,,1.77,1.83,2.09,1.74,1.65
Return on Equity %,,,,,,,,-8.28,-45.18,12.58,0.87
Return on Invested Capital %,,,,,,,,-8.61,-45.18,12.58,0.87
Interest Coverage,,,,4.56,0.09,-11.9,-84.43,,,,
