Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,,,,,,,,100.0,100.0,100.0,100.0
COGS,,,,,,,,82.51,81.4,79.16,79.61
Gross Margin,,,,,,,,17.49,18.6,20.84,20.39
SG&A,,,,,,,,6.14,6.16,7.6,6.71
R&D,,,,,,,,0.98,1.36,1.07,0.96
Other,,,,,,,,,,,
Operating Margin,,,,,,,,10.37,11.08,12.18,12.71
Net Int Inc & Other,,,,,,,,-9.46,-9.6,-8.83,-5.76
EBT Margin,,,,,,,,0.9,1.47,3.34,6.95
