Key Net Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,-47.22,-46.88,154.88,53.89,-34.55,,,-32.47,
3-Year Average,,,,,-10.59,27.72,36.93,,9.08,10.22,
5-Year Average,,,,,,,-6.36,,38.47,6.17,
10-Year Average,,,,,,,,,,,
