Key EPS %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,12.97,21.05,40.71,30.62,30.0,33.0,1.49,6.62,-56.55,200.0,40.28
3-Year Average,9.77,16.5,24.38,30.55,33.69,31.2,20.62,12.9,-22.24,11.59,
5-Year Average,8.97,10.44,17.64,23.78,26.72,30.92,26.39,19.57,-4.06,13.41,
10-Year Average,15.18,13.79,13.79,15.57,18.5,19.34,18.15,18.6,8.98,19.88,
