Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,39.26,38.71,37.83,37.5,37.88,38.04,39.17,37.87,38.09,36.93,37.23
Gross Margin,60.74,61.29,62.17,62.5,62.12,61.96,60.83,62.13,61.91,63.07,62.77
SG&A,29.28,28.93,26.92,27.93,27.43,27.63,30.18,29.53,29.63,29.67,29.26
R&D,6.17,8.12,7.09,6.82,6.4,6.87,9.7,9.09,7.59,7.88,7.62
Other,,1.69,,,9.37,,-18.83,,,,
Operating Margin,25.29,22.54,28.16,27.76,18.91,27.46,39.79,23.51,24.69,25.51,25.89
Net Int Inc & Other,0.93,,-1.67,-1.37,-1.27,-2.7,,-10.1,-14.46,-7.64,-8.17
EBT Margin,26.22,22.54,26.49,26.38,17.64,24.76,39.79,13.41,10.23,17.87,17.72
