Key Margins % of Sales,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,78.6,77.77,76.63,74.2,74.45,75.17,80.96,75.0,74.87,74.82,74.9
Gross Margin,21.4,22.23,23.37,25.8,25.55,24.83,19.04,25.0,25.13,25.18,25.1
SG&A,11.22,11.22,12.28,14.36,13.65,14.32,14.5,14.91,15.92,16.62,15.88
R&D,,,,,,,,,,,
Other,1.04,2.48,2.01,2.71,2.43,3.29,6.42,3.37,3.74,3.89,3.78
Operating Margin,9.14,9.53,9.77,9.27,9.92,7.77,-1.06,6.91,5.8,4.84,5.66
Net Int Inc & Other,0.27,-1.13,-0.66,,,-0.3,-1.0,-0.67,-1.3,-0.3,-1.22
EBT Margin,9.4,8.4,9.11,9.27,9.92,7.46,-2.06,6.24,4.5,4.55,4.43
