Key Financials AUD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue AUD Mil,,0.0,,0.0,0.0,0.0,0.0,,,,
Gross Margin %,,,,,,,,,,,
Operating Income AUD Mil,,-3.0,-2.0,-2.0,-2.0,-4.0,-1.0,-2.0,-4.0,-4.0,-4.0
Operating Margin %,,-678.2,,-618.6,-818.2,,-887.5,,,,
Net Income AUD Mil,,-2.0,-2.0,-2.0,3.0,-3.0,0.0,-1.0,-4.0,-3.0,-3.0
Earnings Per Share AUD,,-0.02,-0.02,-0.01,0.02,-0.02,,,-0.01,-0.01,-0.01
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,95.0,95.0,95.0,134.0,157.0,157.0,160.0,163.0,272.0,508.0,508.0
Book Value Per Share * AUD,,0.05,0.04,0.03,0.04,0.04,0.03,0.03,0.01,0.03,0.03
Operating Cash Flow AUD Mil,,-2.0,-1.0,-2.0,-2.0,-2.0,-1.0,-1.0,-2.0,-2.0,-2.0
Cap Spending AUD Mil,,-5.0,-0.0,-0.0,-0.0,-0.0,-0.0,,-2.0,-14.0,-14.0
Free Cash Flow AUD Mil,,-8.0,-1.0,-2.0,-2.0,-2.0,-1.0,-1.0,-3.0,-16.0,-16.0
Free Cash Flow Per Share * AUD,,-0.05,-0.01,-0.01,-0.01,-0.01,-0.01,,-0.01,-0.01,
Working Capital AUD Mil,6.0,1.0,0.0,1.0,4.0,1.0,2.0,1.0,10.0,9.0,
