Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,6.18,9.93,15.14,2.33,3.23,0.96,5.03,4.02,0.71,105.98,4.22
3-Year Average,4.26,7.72,10.35,9.0,6.74,2.17,3.06,3.32,3.24,29.22,
5-Year Average,8.24,6.42,7.48,8.05,7.26,6.18,5.22,3.1,2.78,18.0,
10-Year Average,,,,9.85,9.24,7.21,5.82,5.27,5.38,12.5,
