Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,-51.68,92.3,-13.31,-26.43,18.58,0.13,0.94,-2.05,-9.5,1.93
3-Year Average,,-4.15,6.06,-5.07,8.78,-8.89,-4.41,6.22,-0.34,-3.64,
5-Year Average,,6.76,16.3,9.02,-5.13,-5.67,8.85,-5.23,-2.89,1.22,
10-Year Average,,,12.84,8.88,6.13,9.25,7.8,5.08,2.94,-2.03,
