Key Net Income %,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Year over Year,13.11,-1.14,3.22,27.39,-10.31,15.2,11.51,3.79,55.99,-37.3,
3-Year Average,12.62,10.78,4.9,9.14,5.65,9.59,4.83,10.06,21.77,0.5,
5-Year Average,12.42,11.01,7.83,12.32,5.69,6.08,8.66,8.78,13.28,5.45,
10-Year Average,9.05,7.97,7.49,9.4,8.45,9.2,9.83,8.31,12.8,5.57,
