Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-1.38,,,-5.53,-0.1,6.64,-4.21,12.81,10.0,10.4,-1.61
3-Year Average,6.38,,2.15,0.69,,0.21,0.68,4.84,5.93,11.06,
5-Year Average,,,5.4,2.5,0.12,1.69,,1.69,4.84,6.95,
10-Year Average,,,,,,,,3.53,3.66,3.48,
