Key Profitability,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tax Rate %,,,,,,,55.62,30.54,31.16,29.47,29.47
Net Margin %,,,,,,,4.07,19.23,15.51,19.11,19.11
Asset Turnover (Average),,,,,,,0.37,0.47,0.55,0.37,0.37
Return on Assets %,,,,,,,1.49,9.01,8.5,6.99,6.99
Financial Leverage (Average),,,,,,1.61,1.48,1.79,1.97,2.0,2.0
Return on Equity %,,,,,,,2.2,14.81,16.07,13.87,13.87
Return on Invested Capital %,,,,,,,3.66,11.98,10.87,9.04,9.04
Interest Coverage,,,,,,,2.63,8.08,6.69,5.61,5.61
