Key Cash Flow Ratios,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Operating Cash Flow Growth % YOY,20.98,1.57,46.41,-2.01,-9.81,10.36,0.25,2.93,-10.58,6.51,
Free Cash Flow Growth % YOY,20.48,-4.06,73.78,-1.52,-11.35,11.53,-3.69,0.28,-11.14,12.84,
Cap Ex as a % of Sales,4.23,4.46,3.75,3.53,3.21,3.31,3.85,4.38,4.31,3.9,3.81
Free Cash Flow/Sales %,11.75,10.14,17.63,17.1,14.1,15.4,14.55,14.71,14.08,16.77,16.59
Free Cash Flow/Net Income,0.93,0.79,1.18,1.21,0.97,1.06,1.13,1.17,1.63,1.04,1.1
