Key Profitability,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Tax Rate %,,,,,,,,,,,
Net Margin %,,,,,,,,,,,
Asset Turnover (Average),,,,,,,,,,,
Return on Assets %,,,,,,,,-17.39,-11.25,-22.92,-22.92
Financial Leverage (Average),,,,,,,,1.04,1.05,1.04,1.04
Return on Equity %,,,,,,,,-18.12,-11.78,-24.01,-24.01
Return on Invested Capital %,,,,,,,,-17.63,-11.7,-24.01,-24.01
Interest Coverage,,,,,,,,-40.18,-216.16,,
