Key Revenue %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,,,,19.55,5088.71,-0.32,1.21,2.06,-6.72,3.23,33.22
3-Year Average,,,,,,295.44,274.09,0.98,-1.23,-0.58,
5-Year Average,,,,,,,,129.65,118.53,-0.17,
10-Year Average,,,,,,,,,,,
