Key Profitability,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Tax Rate %,,,,,,,,,,,
Net Margin %,,,,,,,,,,,-51.81
Asset Turnover (Average),,,,,,,,,,0.05,0.18
Return on Assets %,-14.7,-32.34,-4.23,-5.75,-35.11,-5.38,-56.38,-3.22,-86.73,-67.25,-9.56
Financial Leverage (Average),1.04,1.37,1.37,1.51,1.46,1.29,1.7,1.8,2.04,26.31,
Return on Equity %,-15.56,-38.06,-5.78,-8.27,-52.16,-7.36,-80.15,-5.63,-163.25,-372.43,-984.45
Return on Invested Capital %,-15.56,-38.06,-5.78,-8.27,-52.0,-7.12,-79.92,-5.39,-161.48,-181.47,-71.25
Interest Coverage,,,,,,-29.24,-394.15,-29.76,-91.17,-79.27,-7.91
