Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,-0.35,0.35,74.25,-13.32,6.46,46.64,11.29,171.33,-48.45,23.6,5.99
3-Year Average,41.36,-0.23,20.33,14.87,17.15,10.61,20.22,64.21,15.89,20.02,
5-Year Average,27.07,4.59,37.64,8.45,9.97,18.8,21.28,32.51,19.43,23.05,
10-Year Average,,,9.94,,27.78,22.86,12.63,35.05,13.81,16.32,
