Key Financials AUD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue AUD Mil,,,,,,,,5.0,8.0,14.0,14.0
Gross Margin %,,,,,,,,90.6,88.3,84.0,84.0
Operating Income AUD Mil,-1.0,-2.0,-2.0,-2.0,-2.0,-8.0,-1.0,-2.0,0.0,0.0,0.0
Operating Margin %,,,,,,,,-41.3,3.0,2.0,2.0
Net Income AUD Mil,-1.0,-2.0,-2.0,-2.0,-2.0,-8.0,2.0,-2.0,0.0,0.0,0.0
Earnings Per Share AUD,-0.14,-0.37,-0.19,-0.14,-0.12,-0.29,0.07,,,,
Dividends AUD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,5.0,6.0,9.0,11.0,18.0,26.0,29.0,584.0,163.0,180.0,180.0
Book Value Per Share * AUD,0.84,0.55,0.46,0.41,0.28,0.18,-0.02,0.01,0.04,0.03,0.03
Operating Cash Flow AUD Mil,-0.0,-2.0,-2.0,-1.0,-2.0,-1.0,-2.0,-0.0,0.0,-0.0,-0.0
Cap Spending AUD Mil,-1.0,-1.0,-2.0,-2.0,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Free Cash Flow AUD Mil,-1.0,-3.0,-3.0,-3.0,-3.0,-2.0,-2.0,-1.0,-0.0,-0.0,-0.0
Free Cash Flow Per Share * AUD,-0.16,-0.45,-0.38,-0.29,-0.29,-0.14,-0.07,-0.07,,,
Working Capital AUD Mil,4.0,2.0,1.0,1.0,-0.0,-1.0,2.0,1.0,0.0,1.0,
