Key Margins % of Sales,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
COGS,57.3,58.91,57.78,57.77,57.62,58.71,58.28,56.68,56.18,55.29,55.13
Gross Margin,42.7,41.09,42.22,42.23,42.38,41.29,41.72,43.32,43.82,44.71,44.87
SG&A,28.04,28.68,31.29,30.68,29.23,27.96,27.35,27.67,27.78,28.69,29.0
R&D,,,,,,,,,,,
Other,,1.57,-0.08,,,,,,,1.49,1.42
Operating Margin,14.66,10.84,11.02,11.56,13.16,13.33,14.37,15.65,16.03,14.53,14.45
Net Int Inc & Other,-1.19,-1.26,-1.32,-1.25,-1.67,-1.54,-1.56,-0.99,-1.33,-1.62,-1.8
EBT Margin,13.48,9.58,9.69,10.31,11.48,11.79,12.81,14.66,14.71,12.91,12.64
