Key Operating Income %,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Year over Year,10.97,-52.91,96.36,19.17,-42.98,42.32,42.41,-17.72,-5.48,50.18,-109.47
3-Year Average,27.71,2.04,0.86,3.29,10.09,-1.11,4.94,18.59,3.46,5.31,
5-Year Average,84.81,-3.51,14.0,19.98,-6.96,-2.21,22.02,2.53,-2.11,18.81,
10-Year Average,21.24,9.71,19.96,15.63,,34.43,8.51,8.12,8.37,5.14,
